Word                Count
leaning              2
leant                1
leap                 1
lear                 1
learn                8
learned              1
learning             2
learnt               2
least                9
leave                9
leaves               6
leaving              1
led                  4
ledge                1
left                18
legal                2
legally              1
legged               2
legs                 3
leisurely            1
length               1
less                 4
lessen               1
lesson               3
lessons             10
lest                 1
let                 22
letter               3
letters              1
lewis                3
liability            3
liable               1
library              1
license             18
licensed             1
licking              1
lie                  2
lieu                 2
life                13
lifted               1
like                87
liked                6
likely               5
likes                1
limbs                1
limitation           3
limited              5
line                 2
lines                1
linked               2
links                3
lips                 1
list                 4
listen               7
listened             1
listeners            1
listening            3
lit                  1
literary            13
little              133
live                 8
lived                3
livery               3
lives                4
living               2
lizard               6
ll                  55
lobster              8
lobsters             7
located              7
locations            1
lock                 1
locked               1
locks                2
lodging              1
london               3
lonely               2
long                36
longed               2
longer               3
longitude            2
look                28
looked              47
looking             32
looks                1
loose                2
lory                 7
lose                 1
losing               1
lost                 3
lot                  1
loud                 6
louder               1
loudly               3
love                 3
loveliest            1
lovely               2
loving               1
low                 15
lower                1
lowing               1
ltd                  1
luckily              2
lullaby              1
lying                8
m                   65
ma                   3
mabel                4
machine              1
machines             1
mad                 18
made                33
magic                2
magpie               1
mail                 1
main                 1
maintaining          1
majesty             12
make                30
makes               12
making               8
mallets              1
man                  5
manage               7
managed              4
manager              1
managing             1
manner               2
manners              1
many                14
maps                 1
march               34
marched              1
mark                 5
marked               8
marmalade            1
mary                 6
master               4
matter              10
matters              2
maximum              1
may                 31
maybe                2
mayn                 1
me                  68
meal                 1
mean                10
meaning              8
means                8
meant                5
meanwhile            1
measure              1
meat                 1
medium               5
meekly               2
meet                 3
meeting              1
melancholy           6
memorandum           1
memory               2
mentioned            3
merchantability      1
mercia               2
merely               2
merrily              1
merry                1
messages             2
met                  4
method               1
methods              1
mice                 4
michael              1
middle               8
might               28
mile                 2
miles                3
milk                 2
mind                11
minded               1
minding              1
mine                10
mineral              1
minute              23
minutes             11
mischief             1
miserable            2
miss                 4
missed               2
mission              4
mississippi          1
mistake              3
mixed                2
mock                59
moderate             1
modern               1
modification         1
modified             1
moment              31
money                3
month                2
moon                 1
moral                8
morals               1
morcar               2
more                51
morn                 1
morning              4
morrow               2
morsel               1
most                14
mostly               2
mournful             1
mournfully           1
mouse               45
mouth               10
mouths               4
move                 3
moved                5
moving               4
much                52
muchness             3
muddle               1
multiplication       1
murder               1
murdering            1
muscular             1
mushroom             8
music                3
must                55
mustard              3
muttered             2
muttering            3
my                  58
myself               7
mystery              2
mystic               1
n                    9
name                11
names                2
narrow               2
nasty                1
natural              4
natured              1
naturedly            1
naught               1
nay                  1
near                15
nearer               5
nearly              15
neat                 1
neatly               2
necessarily          1
neck                 7
need                 1
needn                3
needs                1
negligence           1
neighbour            1
neighbouring         1
neither              2
nervous              5
nest                 1
net                  2
network              1
never               51
nevertheless         1
new                 10
newsletter           1
newspapers           1
next                32
nial                 1
nibbled              2
nibbling             3
nice                 6
nicely               2
night                6
nile                 1
nine                 5
ning                 1
no                  101
nobody               8
nodded               1
noise                3
noises               1
non                  1
none                 4
nonproprietary       1
nonsense             8
nor                  3
normans              1
north                1
northumbria          2
nose                 8
not                 175
note                 2
notes                1
nothing             33
notice               8
noticed              8
noticing             1
notifies             1
notion               3
now                 62
nowhere              2
number               8
nurse                3
nursing              3
o                    6
oars                 1
obliged              3
oblong               1
obsolete             1
obstacle             1
obtain               3
obtaining            2
occasional           1
occasionally         1
occur                1
occurred             2
odd                  1
of                  648
off                 83
offend               1
offended             9
offer                2
offers               1
office               1
officer              1
officers             4
official             3
often                6
oh                  45
ointment             1
old                 22
older                2
oldest               1
on                  203
once                35
one                 110
ones                 1
oneself              1
one—the              1
onions               1
online               6
only                52
oop                  7
ootiful              4
open                 7
opened              10
opening              4
opinion              1
opportunities        1
opportunity          9
opposite             1
or                  159
orange               1
order                3
ordered              4
ordering             2
org                  9
organized            1
original             1
originator           1
ornamented           2
other               59
others               8
otherwise            4
ought               14
our                 14
ours                 1
ourselves            1
out                 120
outdated             1
outside              6
over                42
overcome             1
overhead             1
owed                 1
owl                  3
own                 10
owner                4
owns                 2
oyster               1
où                   1
pace                 1
pack                 7
page                17
pages                1
paid                 6
paint                1
painting             2
pair                 5
pairs                1
pale                 4
pan                  1
panted               1
panther              3
panting              4
paper                5
paperwork            1
paragraph           11
paragraphs           3
parchment            2
pardon               6
pardoned             1
parenthesis          1
paris                2
part                 8
particular           6
particularly         1
partner              1
partners             1
parts                3
party               14
pass                 1
passage              4
passed               5
passing              1
passion              3
passionate           1
past                 3
pat                  3
patience             1
patiently            2
patriotic            1
patted               1
pattering            3
pattern              1
pause                2
paused               1
paw                  3
paws                 4
pay                  1
paying               3
payments             3
pebbles              2
peeped               3
peeping              1
peering              1
pegs                 1
pen                  1
pence                1
pencil               2
pencils              1
pennyworth           2
people              16
pepper               9
perennial            1
perfectly            4
perform              1
performances         1
performed            1
performing           3
perhaps             17
period               1
periodic             1
permanent            1
permission           6
permitted            3
persisted            2
person               8
personal             2
persons              1
pet                  1
pg                   1
pgdp                 2
pglaf                1
phrase               4
physical             2
picked               3
picking              2
picture              1
pictured             1
pictures             4
pie                  3
piece                5
pieces               3
pig                 12
pigeon              12
pigs                 6
pilgrim              1
pinch                2
pinched              2
pineapple            1
pink                 1
piteous              1
pitied               1
pity                 3
place                9
placed               1
places               2
plainly              1
plan                 4
planning             1
plate                3
plates               3
play                 8
played               1
players              6
playing              2
pleaded              3
pleasant             1
pleasanter           1
please              22
pleased              7
pleases              1
pleasing             1
pleasure             2
plenty               2
plied                1
pluck                1
pocket               7
pointed              1
pointing             4
poison               3
poker                1
poky                 1
politely             6
pool                14
poor                28
pop                  1
pope                 1
porpoise             4
position             2
positively           1
possessed            1
possession           1
possibility          1
possible             1
possibly             3
posted               4
pot                  1
pounds               1
pour                 1
poured               1
powdered             1
practically          1
practice             1
pray                 3
precious             1
prepare              2
present              3
presented            1
presently            2
presents             2
preserve             1
press                1
pressed              3
pressing             1
pretence             1
pretend              1
pretending           1
pretexts             1
prettier             1
pretty               1
prevent              2
previous             1
prima                1
print                1
printed              5
prison               1
prisoner             2
prize                1
prizes               5
problem              1
proceed              2
processing           1
procession           5
processions          1
produce              1
produced             6
producing            1
production           1
proem                1
professor            1
profit               1
profits              1
prohibition          1
project             84
prominently          2
promise              1
promised             1
promising            1
promoting            2
promotion            1
pronounced           1
proofread            1
proofreading         2
proper               3
property             2
proposal             1
proprietary          1
prose                1
protect              2
protected            5
protection           1
proud                2
prove                2
proved               2
proves               1
provide              7
provided             4
providing            4
provision            1
provisions           1
provoking            1
public               3
puffed               1
pulled               1
pulling              1
pun                  1
punching             1
punished             1
punitive             1
puppy                7
purple               1
purpose              3
purring              2
pursue               1
push                 2
puss                 1
put                 32
putting              3
puzzle               1
puzzled              9
puzzling             4
quadrille            5
quaint               1
quarrel              1
quarrelled           1
quarrelling          4
queen               81
queens               1
queer               12
queerest             1
question            17
questions            4
quick                2
quicker              1
quickly              2
quiet                3
quietly              5
quite               57
quiver               1
quotation            2
quote                1
rabbit              53
rabbits              1
race                 7
rackham              2
rags                 1
railway              2
raised               2
raising              1
ran                 16
rapidly              2
rapped               1
rat                  1
rate                 9
rather              26
rats                 1
rattle               1
rattling             2
raven                1
ravens               1
raving               2
raw                  1
re                  40
reach                4
reaching             2
read                14
readable             2
readily              1
reading              4
ready                8
real                 3
reality              1
really              13
rearing              1
reason               9
reasonable           2
reasons              1
receipt              2
receive              2
received             6
receiving            1
recently             1
recognised           1
recovered            2
red                  3
redistribute         1
redistributing       2
redistribution       2
reduced              1
reeds                1
reeling              1
references           2
refreshments         1
refund               9
refund”              1
refused              1
registered           2
regular              2
regulating           1
release              1
relief               2
relieved             1
remain               2
remained             3
remaining            2
remark              10
remarkable           2
remarked            10
remarking            3
remarks              3
remedies             2
remember            14
remembered           5
remembering          1
reminding            1
remove               1
removed              4
renamed              1
repeat               7
repeated            10
repeating            3
replace              1
replacement          5
replied             29
reply                5
reported             1
reports              1
representations      1
reproduced           1
request              1
require              1
required             1
requirements         4
research             2
resource             1
respect              1
respectable          1
respectful           1
rest                11
resting              2
restrictions         2
result               1
retire               1
return               3
returned             2
returning            1
returns              1
revenue              1
rich                 1
riddle               1
riddles              2
ridge                1
ridges               1
ridiculous           1
right               36
rightly              1
ring                 2
ringlets             2
rip                  1
riper                1
rippling             1
rise                 1
rises                1
rising               1
roared               1
roast                1
rock                 1
rocket               1
rome                 2
roof                 6
room                13
roots                2
rope                 1
rose                 7
roses                3
roughly              1
round               43
row                  2
royal                2
royalties            3
royalty              3
rubbed               1
rubbing              2
rude                 2
rudeness             1
rule                 5
rules                4
rumbling             1
run                  4
running              8
rush                 2
rushed               1
rustled              1
rustling             1
s                   229
sad                  3
sadly                5
safe                 2
sage                 1
said                468
salt                 3
same                25
sand                 1
sands                1
sang                 2
sat                 16
saucepan             3
saucepans            1
saucer               1
savage               4
save                 2
saves                1
saw                 14
say                 50
saying              15
says                 4
scale                1
scaly                1
school               6
schoolroom           1
scolded              1
score                1
scrambling           1
scratching           1
scream               2
screamed             4
screaming            1
scroll               2
scurried             1
sea                 14
seals                1
seaography           1
search               2
seaside              1
seated               1
second               6
secondly             2
secret               1
section              7
sections             1
secunda              1
secure               1
see                 70
seeing               1
seem                 9
seemed              27
seems                5
seen                15
seldom               1
sell                 2
send                 3
sending              3
sends                2
sensation            2
sense                3
sent                 4
sentence             8
sentenced            1
series               1
seriously            1
serpent              9
serpents             3
service              1
set                 23
setting              2
settle               1
settled              3
settling             1
seven                6
several              5
severely             4
severity             1
sh                   2
sha                  5
shade                1
shake                1
shakespeare          1
shaking              3
shall               27
shan                 1
shape                1
shaped               3
share                2
shared               2
sharing              2
shark                1
sharks               1
sharp                6
sharply              3
she                 560
shedding             1
sheep                1
shelves              2
shepherd             1
shifting             1
shilling             1
shillings            1
shingle              1
shining              1
shiny                1
shiver               1
shock                1
shoes                7
shook                9
shore                4
short                4
shorter              2
should              29
shoulder             4
shoulders            4
shouldn              5
shouted              9
shouting             4
show                 3
shower               2
showing              2
shriek               5
shrieked             1
shrieks              1
shrill               5
shrimp               1
shrink               1
shrinking            4
shut                 5
shutting             2
shyly                1
side                17
sidenote            12
sides                4
sigh                 4
sighed               5
sighing              3
sight               10
sign                 1
signed               2
signifies            1
signify              1
silence             16
silent               7
simple               5
simpleton            1
simply               3
since                5
sing                 6
singers              2
singing              2
single               1
sink                 1
sir                  7
sister               9
sisters              2
sit                  8
sits                 1
sitting             10
six                  2
sixpence             1
sixteenth            1
size                13
sizes                1
skill                1
skimming             1
skirt                1
sky                  5
slate                4
slates               8
sleep                6
sleepy               5
slightest            1
slipped              3
slippery             1
slowly               9
sluggard             1
small               12
smaller              3
smallest             2
smile                2
smiled               2
smiling              2
smoke                1
smoking              2
snail                3
snappishly           1
snatch               2
sneeze               2
sneezed              1
sneezes              2
sneezing             6
snorting             1
snout                1
so                  156
sob                  1
sobbed               1
sobbing              3
